family,point,subrun,run,volume,e1,e2,e3,e4,e5,e6,strain_norm,max_abs_voigt,lhfcalc,aexx,ispin,encut,functional,nk,nb,energy,ionic_steps
1-scale-all-axes-uniformly,cell-volume-10.30-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.30-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.300000000000002,-0.03122771231754301,-0.031227712297292043,-0.031227712297292043,-8.913115792309874e-13,-9.199165983652264e-12,9.199165983652264e-12,0.054087984314745145,0.03122771231754301,,,,550,PBE,172,8,-18.011787,1
1-scale-all-axes-uniformly,cell-volume-10.30-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.30-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.299999999999985,-0.0312277123175434,-0.031227712297292376,-0.031227712297292376,-8.912298533675619e-13,-9.199250791242534e-12,9.199195280091303e-12,0.054087984314745756,0.0312277123175434,.TRUE.,0.27,,550,HSE,172,8,-21.21805,1
1-scale-all-axes-uniformly,cell-volume-10.35-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.35-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.350000000000003,-0.029711874654007486,-0.029711874633691016,-0.029711874633691016,-8.941807128200341e-13,-9.228791492134778e-12,9.228791492134778e-12,0.05146247646539948,0.029711874654007486,,,,550,PBE,172,8,-18.02803,1
1-scale-all-axes-uniformly,cell-volume-10.35-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.35-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.349999999999985,-0.02971187465400804,-0.029711874633691515,-0.02971187463369146,-8.939875635883161e-13,-9.229097943264142e-12,9.229097943264142e-12,0.05146247646540035,0.02971187465400804,.TRUE.,0.27,,550,HSE,172,8,-21.231054,1
1-scale-all-axes-uniformly,cell-volume-10.40-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.40-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.400000000000006,-0.028198475999658856,-0.028198475979276993,-0.028198475979276993,-8.971120802261584e-13,-9.258701279039294e-12,9.258756790190525e-12,0.04884119310388578,0.028198475999658856,,,,550,PBE,172,8,-18.043389,1
1-scale-all-axes-uniformly,cell-volume-10.40-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.40-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.400000000000015,-0.028198475999658634,-0.028198475979276716,-0.028198475979276827,-8.97070076852051e-13,-9.25877029796765e-12,9.25877029796765e-12,0.04884119310388539,0.028198475999658634,.TRUE.,0.27,,550,HSE,172,8,-21.243175,1
1-scale-all-axes-uniformly,cell-volume-10.45-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.45-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.450000000000001,-0.02668750073222309,-0.02668750071177589,-0.026687500711775947,-8.999224103828088e-13,-9.288323495240641e-12,9.288379006391872e-12,0.04622410717163165,0.02668750073222309,,,,550,PBE,172,8,-18.057895,1
1-scale-all-axes-uniformly,cell-volume-10.45-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.45-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.450000000000001,-0.02668750073222309,-0.026687500711775947,-0.02668750071177589,-8.999224103828088e-13,-9.288323495240641e-12,9.288323495240641e-12,0.04622410717163165,0.02668750073222309,.TRUE.,0.27,,550,HSE,172,8,-21.254443,1
1-scale-all-axes-uniformly,cell-volume-10.50-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.50-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.500000000000004,-0.025178933403700587,-0.025178933383188218,-0.025178933383188162,-9.026976407610081e-13,-9.31796612281477e-12,9.31796612281477e-12,0.04361119191191691,0.025178933403700587,,,,550,PBE,172,8,-18.07146,1
1-scale-all-axes-uniformly,cell-volume-10.50-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.50-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.500000000000009,-0.025178933403700365,-0.02517893338318805,-0.025178933383188107,-9.029891021566706e-13,-9.317869006151814e-12,9.317924517303045e-12,0.043611191911916654,0.025178933403700365,.TRUE.,0.27,,550,HSE,172,8,-21.264759,1
1-scale-all-axes-uniformly,cell-volume-10.55-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.55-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.550000000000002,-0.023672758737602162,-0.023672758717024678,-0.023672758717024678,-9.054501446816611e-13,-9.347419490477657e-12,9.347419490477657e-12,0.04100242086508619,0.023672758737602162,,,,550,PBE,172,8,-18.084238,1
1-scale-all-axes-uniformly,cell-volume-10.55-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.55-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.550000000000017,-0.023672758737601718,-0.02367275871702429,-0.023672758717024234,-9.055479667045853e-13,-9.347572823651813e-12,9.347572823651813e-12,0.04100242086508545,0.023672758737601718,.TRUE.,0.27,,550,HSE,172,8,-21.274299,1
1-scale-all-axes-uniformly,cell-volume-10.60-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.60-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.6,-0.0221689616262411,-0.022168961605598725,-0.02216896160559867,-9.083924871402171e-13,-9.376951674375986e-12,9.377007185527217e-12,0.03839776786385855,0.0221689616262411,,,,550,PBE,172,8,-18.095967,1
1-scale-all-axes-uniformly,cell-volume-10.60-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.60-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.60000000000001,-0.02216896162624099,-0.02216896160559856,-0.02216896160559867,-9.086288327288721e-13,-9.376965975359717e-12,9.376965975359717e-12,0.0383977678638584,0.02216896162624099,.TRUE.,0.27,,550,HSE,172,8,-21.282756,1
1-scale-all-axes-uniformly,cell-volume-10.65-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.65-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.650000000000006,-0.020667527128081564,-0.020667527107374406,-0.020667527107374406,-9.115819046912847e-13,-9.406564399913132e-12,9.406564399913132e-12,0.03579720702873479,0.020667527128081564,,,,550,PBE,172,8,-18.107174,1
1-scale-all-axes-uniformly,cell-volume-10.65-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.65-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.65,-0.020667527128081786,-0.020667527107374517,-0.020667527107374517,-9.114008735136851e-13,-9.406549902189227e-12,9.406605413340459e-12,0.03579720702873504,0.020667527128081786,.TRUE.,0.27,,550,HSE,172,8,-21.29073,1
1-scale-all-axes-uniformly,cell-volume-10.70-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.70-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.700000000000003,-0.01916844046514027,-0.019168440444368218,-0.019168440444368162,-9.140828017117886e-13,-9.435988205280796e-12,9.435988205280796e-12,0.03320071276349661,0.01916844046514027,,,,550,PBE,172,96,-18.117412,1
1-scale-all-axes-uniformly,cell-volume-10.70-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.70-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.699999999999994,-0.01916844046514038,-0.019168440444368384,-0.01916844044436833,-9.140125967112914e-13,-9.43597351143153e-12,9.43597351143153e-12,0.03320071276349688,0.01916844046514038,.TRUE.,0.27,,550,HSE,172,8,-21.297716,1
1-scale-all-axes-uniformly,cell-volume-10.75-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.75-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.750000000000002,-0.017671687020439975,-0.01767168699960342,-0.01767168699960342,-9.17055575181913e-13,-9.465217753283305e-12,9.465273264434537e-12,0.030608259750797524,0.017671687020439975,,,,550,PBE,172,8,-18.126888,1
1-scale-all-axes-uniformly,cell-volume-10.75-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.75-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.750000000000012,-0.017671687020439697,-0.01767168699960303,-0.01767168699960303,-9.170298427598645e-13,-9.465303043163719e-12,9.465247532012488e-12,0.030608259750796913,0.017671687020439697,.TRUE.,0.27,,550,HSE,172,8,-21.303942,1
1-scale-all-axes-uniformly,cell-volume-10.80-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.80-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.8,-0.016177252335517367,-0.016177252314616197,-0.016177252314616197,-9.200609333258925e-13,-9.494590908262134e-12,9.494535397110902e-12,0.02801982294784377,0.016177252335517367,,,,550,PBE,172,8,-18.135491,1
1-scale-all-axes-uniformly,cell-volume-10.80-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.80-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.79999999999999,-0.0161772523355177,-0.01617725231461653,-0.016177252314616586,-9.19793635897156e-13,-9.494434633135859e-12,9.494379121984627e-12,0.02801982294784438,0.0161772523355177,.TRUE.,0.27,,550,HSE,172,8,-21.309276,1
1-scale-all-axes-uniformly,cell-volume-10.85-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.85-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.850000000000009,-0.014685122107976456,-0.014685122087010838,-0.014685122087010949,-9.229002157325814e-13,-9.524020032108594e-12,9.524020032108594e-12,0.025435377582159246,0.014685122107976456,,,,550,PBE,172,8,-18.143396,1
1-scale-all-axes-uniformly,cell-volume-10.85-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.85-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.849999999999984,-0.014685122107977122,-0.014685122087011393,-0.014685122087011393,-9.226170567917894e-13,-9.523903406621496e-12,9.523903406621496e-12,0.025435377582160208,0.014685122107977122,.TRUE.,0.27,,550,HSE,172,8,-21.313922,1
1-scale-all-axes-uniformly,cell-volume-10.90-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.90-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.900000000000004,-0.013195282189094493,-0.013195282168064426,-0.013195282168064537,-9.255600966344545e-13,-9.553103220996545e-12,9.553103220996545e-12,0.022854899147436974,0.013195282189094493,,,,550,PBE,172,96,-18.150682,1
1-scale-all-axes-uniformly,cell-volume-10.90-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.90-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.899999999999995,-0.013195282189094715,-0.013195282168064648,-0.013195282168064704,-9.255446243371682e-13,-9.55314325985049e-12,9.55314325985049e-12,0.022854899147437328,0.013195282189094715,.TRUE.,0.27,,550,HSE,172,8,-21.317957,1
1-scale-all-axes-uniformly,cell-volume-10.95-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.95-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.950000000000003,-0.01170771858147257,-0.011707718560378277,-0.011707718560378388,-9.285202914790012e-13,-9.582320190373478e-12,9.582320190373478e-12,0.02027836339947119,0.01170771858147257,,,,550,PBE,172,8,-18.157013,1
1-scale-all-axes-uniformly,cell-volume-10.95-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.95-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.949999999999983,-0.011707718581473181,-0.011707718560378833,-0.011707718560378833,-9.2830676176797e-13,-9.582439727569835e-12,9.582384216418604e-12,0.02027836339947212,0.011707718581473181,.TRUE.,0.27,,550,HSE,172,8,-21.321006,1
1-scale-all-axes-uniformly,cell-volume-11.00-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.00-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.000000000000002,-0.010222417436736131,-0.010222417415577612,-0.010222417415577612,-9.3116688205604e-13,-9.611445600087827e-12,9.611445600087827e-12,0.017705746352173236,0.010222417436736131,,,,550,PBE,172,8,-18.162759,1
1-scale-all-axes-uniformly,cell-volume-11.00-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.00-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.000000000000007,-0.010222417436735909,-0.0102224174155775,-0.0102224174155775,-9.3118274000998e-13,-9.611461458041766e-12,9.611461458041766e-12,0.017705746352172976,0.010222417436735909,.TRUE.,0.27,,550,HSE,172,8,-21.323492,1
1-scale-all-axes-uniformly,cell-volume-11.05-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.05-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.050000000000002,-0.008739365053276549,-0.008739365032054025,-0.00873936503205408,-9.340859448105934e-13,-9.640732459677228e-12,9.640732459677228e-12,0.015137024273661244,0.008739365053276549,,,,550,PBE,172,8,-18.167698,1
1-scale-all-axes-uniformly,cell-volume-11.05-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.05-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.049999999999988,-0.008739365053276937,-0.008739365032054414,-0.008739365032054414,-9.34164867300638e-13,-9.64070035986481e-12,9.64070035986481e-12,0.015137024273661884,0.008739365053276937,.TRUE.,0.27,,550,HSE,172,8,-21.325152,1
1-scale-all-axes-uniformly,cell-volume-11.10-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.10-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.100000000000005,-0.007258547874040511,-0.007258547852754038,-0.007258547852754038,-9.368434943536194e-13,-9.669469227996482e-12,9.669469227996482e-12,0.012572173682429723,0.007258547874040511,,,,550,PBE,172,96,-18.172026,1
1-scale-all-axes-uniformly,cell-volume-11.10-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.10-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.100000000000005,-0.007258547874040511,-0.007258547852754038,-0.007258547852754038,-9.368434943536194e-13,-9.669469227996482e-12,9.669469227996482e-12,0.012572173682429723,0.007258547874040511,.TRUE.,0.27,,550,HSE,172,8,-21.326208,1
1-scale-all-axes-uniformly,cell-volume-11.15-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.15-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.150000000000002,-0.005779952484361028,-0.005779952463010607,-0.005779952463010607,-9.395375594865663e-13,-9.698531089964276e-12,9.698531089964276e-12,0.010011171343593915,0.005779952484361028,,,,550,PBE,172,8,-18.17562,1
1-scale-all-axes-uniformly,cell-volume-11.15-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.15-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.149999999999997,-0.005779952484361195,-0.0057799524630107735,-0.0057799524630107735,-9.395375594865663e-13,-9.698753134569201e-12,9.698753134569201e-12,0.010011171343594203,0.005779952484361195,.TRUE.,0.27,,550,HSE,172,8,-21.326522,1
1-scale-all-axes-uniformly,cell-volume-11.20-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.20-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.199999999999998,-0.004303565609829696,-0.004303565588415603,-0.004303565588415548,-9.42502611462589e-13,-9.727697405321454e-12,9.727641894170222e-12,0.007453994265204276,0.004303565609829696,,,,550,PBE,172,8,-18.178637,1
1-scale-all-axes-uniformly,cell-volume-11.20-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.20-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.200000000000003,-0.00430356560982964,-0.004303565588415492,-0.004303565588415437,-9.424471003113578e-13,-9.72753087186776e-12,9.72753087186776e-12,0.007453994265204116,0.00430356560982964,.TRUE.,0.27,,550,HSE,172,8,-21.326268,1
1-scale-all-axes-uniformly,cell-volume-11.25-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.25-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.250000000000002,-0.0028293741142120243,-0.002829374092734205,-0.002829374092734205,-9.451720305053513e-13,-9.756401554291676e-12,9.756346043140444e-12,0.004900619694634964,0.0028293741142120243,,,,550,PBE,172,8,-18.180925,1
1-scale-all-axes-uniformly,cell-volume-11.25-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.25-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.249999999999986,-0.002829374114212524,-0.0028293740927347044,-0.0028293740927347044,-9.45304940005741e-13,-9.756478952640833e-12,9.756534463792064e-12,0.004900619694635829,0.002829374114212524,.TRUE.,0.27,,550,HSE,172,8,-21.325271,1
1-scale-all-axes-uniformly,cell-volume-11.30-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.30-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.3,-0.0013573649974015223,-0.001357364975860087,-0.0013573649758600315,-9.481504671715405e-13,-9.785581254339017e-12,9.785636765490249e-12,0.0023510251150410948,0.0013573649974015223,,,,550,PBE,172,96,-18.182575,1
1-scale-all-axes-uniformly,cell-volume-11.30-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.30-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.30000000000001,-0.0013573649974013002,-0.001357364975859754,-0.0013573649758596984,-9.478899124962753e-13,-9.785598255419908e-12,9.785598255419908e-12,0.002351025115040582,0.0013573649974013002,.TRUE.,0.27,,550,HSE,172,8,-21.323632,1
1-scale-all-axes-uniformly,cell-volume-11.35-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.35-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.35,0.00011247460658669883,0.00011247462819163889,0.00011247462819152787,-9.509162589864932e-13,-9.814270753778968e-12,9.814215242627736e-12,0.00019481175811665634,0.00011247462819163889,,,,550,PBE,172,8,-18.183737,1
1-scale-all-axes-uniformly,cell-volume-11.35-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.35-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.34999999999995,0.0001124746065850335,0.00011247462818997356,0.00011247462818997356,-9.50945275415229e-13,-9.814299770207704e-12,9.814299770207704e-12,0.000194811758113836,0.00011247462818997356,.TRUE.,0.27,,550,HSE,172,8,-21.321523,1
1-scale-all-axes-uniformly,cell-volume-11.40-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.40-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.4,0.0015801574315835731,0.001580157453252018,0.001580157453252129,-9.535077741441982e-13,-9.843174554620289e-12,9.843174554620289e-12,0.0027369129804809197,0.001580157453252129,,,,550,PBE,172,8,-18.184123,1
1-scale-all-axes-uniformly,cell-volume-11.40-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.40-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.400000000000091,0.0015801574315863487,0.0015801574532546825,0.0015801574532545715,-9.536226609332234e-13,-9.842900863350696e-12,9.842900863350696e-12,0.002736912980485471,0.0015801574532546825,.TRUE.,0.27,,550,HSE,172,8,-21.318611,1
1-scale-all-axes-uniformly,cell-volume-11.45-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.45-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.45,0.0030456960811976463,0.003045696102929263,0.003045696102929263,-9.565329855424396e-13,-9.871845917887372e-12,9.871845917887372e-12,0.005275300382141257,0.003045696102929263,,,,550,PBE,172,8,-18.184043,1
1-scale-all-axes-uniformly,cell-volume-11.45-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.45-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.45,0.0030456960811976463,0.003045696102929263,0.003045696102929263,-9.565329855424396e-13,-9.871845917887372e-12,9.871845917887372e-12,0.005275300382141257,0.003045696102929263,.TRUE.,0.27,,550,HSE,172,8,-21.315249,1
1-scale-all-axes-uniformly,cell-volume-11.50-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.50-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.499999999999998,0.0045091030307082836,0.004509103052503072,0.004509103052503072,-9.59285705305229e-13,-9.900411322972697e-12,9.900411322972697e-12,0.007809995570916008,0.004509103052503072,,,,550,PBE,172,8,-18.1833,1
1-scale-all-axes-uniformly,cell-volume-11.50-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.50-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.500000000000167,0.0045091030307132796,0.004509103052507957,0.004509103052507957,-9.594697007260335e-13,-9.900484296091038e-12,9.90053980724227e-12,0.0078099955709245335,0.004509103052507957,.TRUE.,0.27,,550,HSE,172,8,-21.311214,1
1-scale-all-axes-uniformly,cell-volume-11.55-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-11.55-cubic-angstroms/1-cheap-pbe-atoms-relaxed,11.550000000000002,0.00597039062892446,0.00597039065078242,0.00597039065078242,-9.620053735733952e-13,-9.929332254622016e-12,9.929332254622016e-12,0.010341019935569667,0.00597039065078242,,,,550,PBE,172,8,-18.181877,1
1-scale-all-axes-uniformly,cell-volume-11.55-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-11.55-cubic-angstroms/2-accurate-hse06-atoms-fixed,11.549999999999931,0.005970390628922573,0.005970390650780533,0.005970390650780422,-9.621590572018158e-13,-9.929319404796742e-12,9.929319404796742e-12,0.010341019935566333,0.005970390650780533,.TRUE.,0.27,,550,HSE,172,8,-21.306484,1
