config_key,pbe_path,hse_path,dopants,natoms,pbe_nsw,hse_nsw,pbe_steps,hse_steps,pbe_encut,hse_encut,pbe_prec,hse_prec,pbe_ispin,hse_ispin,pbe_volume,hse_volume,volume_diff,pbe_nelect,hse_nelect,pbe_magmom,hse_magmom,max_displacement,geometry,quality,quality_notes,note
single_defects_new-only/IIA-impurity/Ba,single_defects_new-only-GGA-PBE/IIA-impurity/Ba/GGA-PBE,single_defects_new-only-HSE06/IIA-impurity/Ba/hse06,Ba,64,40,40,5,7,500.0,500.0,,,2,2,366.652,366.652,0.0,262.0,262.0,2.0,2.0,0.0025610215277081625,same-geometry,clean,,
single_defects_new-only/IIA-impurity/Ca,single_defects_new-only-GGA-PBE/IIA-impurity/Ca/GGA-PBE,single_defects_new-only-HSE06/IIA-impurity/Ca/hse06,Ca,64,40,40,15,40,500.0,500.0,,,2,2,366.652,366.652,0.0,260.0,260.0,-2.0,-2.0,0.2589465260001318,different-geometry,clean,,
single_defects_new-only/IIA-impurity/Ra,single_defects_new-only-GGA-PBE/IIA-impurity/Ra/GGA-PBE,single_defects_new-only-HSE06/IIA-impurity/Ra/hse06,Ra,64,40,40,40,40,500.0,500.0,,,2,2,366.652,366.652,0.0,262.0,262.0,0.25,0.0,0.524845755444877,different-geometry,spin-suspect,mag-quarter,
single_defects_new-only/IIA-impurity/Sr,single_defects_new-only-GGA-PBE/IIA-impurity/Sr/GGA-PBE,single_defects_new-only-HSE06/IIA-impurity/Sr/hse06,Sr,64,40,40,40,40,500.0,500.0,,,2,2,366.652,366.652,0.0,262.0,262.0,-2.0,-2.0,0.18759508193672916,different-geometry,clean,,
single_defects_new-only/III-A/Al,single_defects_new-only-GGA-PBE/III-A/Al/GGA-PBE,single_defects_new-only-HSE06/III-A/Al/hse06,Al,64,40,40,19,5,500.0,500.0,,,2,2,366.652,366.652,0.0,255.0,255.0,0.25,0.25,0.001153683199832913,same-geometry,spin-suspect,mag-quarter|mag-quarter,
single_defects_new-only/III-A/Ga,single_defects_new-only-GGA-PBE/III-A/Ga/GGA-PBE,single_defects_new-only-HSE06/III-A/Ga/hse06,Ga,64,40,40,17,7,500.0,500.0,,,2,2,366.652,366.652,0.0,265.0,265.0,0.0,0.0,0.001373873028564593,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defects_new-only/III-A/In,single_defects_new-only-GGA-PBE/III-A/In/GGA-PBE,single_defects_new-only-HSE06/III-A/In/hse06,In,64,40,40,17,7,500.0,500.0,,,2,2,366.652,366.652,0.0,265.0,265.0,-0.0,-0.0,0.0033068188896482496,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defects_new-only/III-A/Tl,single_defects_new-only-GGA-PBE/III-A/Tl/GGA-PBE,single_defects_new-only-HSE06/III-A/Tl/hse06,Tl,64,40,40,18,7,500.0,500.0,,,2,2,366.652,366.652,0.0,265.0,265.0,-0.0,-0.0,0.00486693502386713,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defects_new-only/IV-A/Ge,single_defects_new-only-GGA-PBE/IV-A/Ge/GGA-PBE,single_defects_new-only-HSE06/IV-A/Ge/hse06,Ge,64,40,40,17,7,500.0,500.0,,,2,2,366.652,366.652,0.0,266.0,266.0,0.0,0.0,0.002872548343522806,same-geometry,clean,,
single_defects_new-only/IV-A/Pb,single_defects_new-only-GGA-PBE/IV-A/Pb/GGA-PBE,single_defects_new-only-HSE06/IV-A/Pb/hse06,Pb,64,40,40,18,7,500.0,500.0,,,2,2,366.652,366.652,0.0,266.0,266.0,-0.0,0.0,0.00712162768045227,same-geometry,clean,,
single_defects_new-only/IV-A/Sn,single_defects_new-only-GGA-PBE/IV-A/Sn/GGA-PBE,single_defects_new-only-HSE06/IV-A/Sn/hse06,Sn,64,40,40,17,7,500.0,500.0,,,2,2,366.652,366.652,0.0,266.0,266.0,-0.0,0.0,0.004824846868736235,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Ag,single_defects_new-only-GGA-PBE/Transition-Metals/Ag/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Ag/hse06,Ag,64,40,40,16,7,500.0,500.0,,,2,2,366.652,366.652,0.0,269.0,269.0,-1.5,-3.0,0.0040808986072181815,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Cd,single_defects_new-only-GGA-PBE/Transition-Metals/Cd/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Cd/hse06,Cd,64,40,40,21,5,500.0,500.0,,,2,2,366.652,366.652,0.0,264.0,264.0,2.0,2.0,0.0010179968929593017,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Co,single_defects_new-only-GGA-PBE/Transition-Metals/Co/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Co/hse06,Co,64,40,40,14,13,500.0,500.0,,,2,2,366.652,366.652,0.0,267.0,267.0,0.25,1.0,0.01720395676978372,different-geometry,spin-suspect,mag-quarter,
single_defects_new-only/Transition-Metals/Cr,single_defects_new-only-GGA-PBE/Transition-Metals/Cr/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Cr/hse06,Cr,64,40,40,15,5,500.0,500.0,,,2,2,366.652,366.652,0.0,264.0,264.0,2.0,2.0,0.0019349594546205402,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Cu,single_defects_new-only-GGA-PBE/Transition-Metals/Cu/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Cu/hse06,Cu,64,40,40,13,7,500.0,500.0,,,2,2,366.652,366.652,0.0,269.0,269.0,1.5,3.0,0.004132757740343751,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Fe,single_defects_new-only-GGA-PBE/Transition-Metals/Fe/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Fe/hse06,Fe,64,40,40,14,5,500.0,500.0,,,2,2,366.652,366.652,0.0,266.0,266.0,0.0,-0.0,0.0027540302005371812,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Mo,single_defects_new-only-GGA-PBE/Transition-Metals/Mo/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Mo/hse06,Mo,64,40,40,15,5,500.0,500.0,,,2,2,366.652,366.652,0.0,264.0,264.0,2.0,2.0,0.0033812110366497903,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Nb,single_defects_new-only-GGA-PBE/Transition-Metals/Nb/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Nb/hse06,Nb,64,40,40,3,13,500.0,500.0,,,2,2,366.652,366.652,0.0,263.0,263.0,-1.0,-1.0,0.013324496760728164,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Ni,single_defects_new-only-GGA-PBE/Transition-Metals/Ni/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Ni/hse06,Ni,64,40,40,19,19,500.0,500.0,,,2,2,366.652,366.652,0.0,268.0,268.0,0.5,-0.0,0.03865126421098707,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Pd,single_defects_new-only-GGA-PBE/Transition-Metals/Pd/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Pd/hse06,Pd,64,40,40,23,25,500.0,500.0,,,2,2,366.652,366.652,0.0,268.0,268.0,0.5,0.0,0.038197349775985566,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Rh,single_defects_new-only-GGA-PBE/Transition-Metals/Rh/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Rh/hse06,Rh,64,40,40,15,30,500.0,500.0,,,2,2,366.652,366.652,0.0,267.0,267.0,-0.5,-1.0,0.11315333091716522,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Ru,single_defects_new-only-GGA-PBE/Transition-Metals/Ru/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Ru/hse06,Ru,64,40,0,15,1,500.0,500.0,,,2,2,366.652,366.652,0.0,266.0,266.0,-0.0,-0.0,3.640826881027294e-14,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Sc,single_defects_new-only-GGA-PBE/Transition-Metals/Sc/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Sc/hse06,Sc,64,40,40,15,40,500.0,500.0,,,2,2,366.652,366.652,0.0,263.0,263.0,-1.0,-1.0,0.1754076466537829,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Tc,single_defects_new-only-GGA-PBE/Transition-Metals/Tc/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Tc/hse06,Tc,64,40,40,3,11,500.0,500.0,,,2,2,366.652,366.652,0.0,265.0,265.0,1.0,1.0,0.008797091292814908,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Ti,single_defects_new-only-GGA-PBE/Transition-Metals/Ti/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Ti/hse06,Ti,64,40,40,15,7,500.0,500.0,,,2,2,366.652,366.652,0.0,262.0,262.0,-0.0,0.0,0.005154205291653737,same-geometry,clean,,
single_defects_new-only/Transition-Metals/V,single_defects_new-only-GGA-PBE/Transition-Metals/V/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/V/hse06,V,64,40,40,3,15,500.0,500.0,,,2,2,366.652,366.652,0.0,263.0,263.0,-1.0,-1.0,0.0025665461815770566,same-geometry,clean,,
single_defects_new-only/Transition-Metals/Y,single_defects_new-only-GGA-PBE/Transition-Metals/Y/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Y/hse06,Y,64,40,40,19,40,500.0,500.0,,,2,2,366.652,366.652,0.0,263.0,263.0,1.0,1.0,0.18075917821954288,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Zn,single_defects_new-only-GGA-PBE/Transition-Metals/Zn/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Zn/hse06,Zn,64,40,40,4,19,500.0,500.0,,,2,2,366.652,366.652,0.0,264.0,264.0,1.25,2.0,0.02482998774741373,different-geometry,clean,,
single_defects_new-only/Transition-Metals/Zr,single_defects_new-only-GGA-PBE/Transition-Metals/Zr/GGA-PBE,single_defects_new-only-HSE06/Transition-Metals/Zr/hse06,Zr,64,40,40,17,17,500.0,500.0,,,2,2,366.652,366.652,0.0,264.0,264.0,0.0,0.0,0.0,same-geometry,clean,,
single_defects_new-only/VA/Bi,single_defects_new-only-GGA-PBE/VA/Bi/GGA-PBE,single_defects_new-only-HSE06/VA/Bi/hse06,Bi,64,40,40,19,9,500.0,500.0,,,2,2,366.652,366.652,0.0,267.0,267.0,0.0,-0.0,0.008948000400058812,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defects_new-only/VIA/Po,single_defects_new-only-GGA-PBE/VIA/Po/GGA-PBE,single_defects_new-only-HSE06/VIA/Po/hse06,Po,64,40,40,18,7,500.0,500.0,,,2,2,366.652,366.652,0.0,268.0,268.0,0.0,-0.0,0.0035519113574720234,same-geometry,clean,,
single_defects_new-only/VIIA/At,single_defects_new-only-GGA-PBE/VIIA/At/GGA-PBE,single_defects_new-only-HSE06/VIIA/At/hse06,At,64,40,40,40,35,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,-0.0,-0.0,0.044083313133448376,different-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
triads_defects/B-N-S/C8-C53-C1-were_replaced/config1,triads_defects/B-N-S/C8-C53-C1-were_replaced/config1/GGA-PBE,triads_defects/B-N-S/C8-C53-C1-were_replaced/config1/HSE06,BNS,64,100,0,7,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,-0.0,-0.0,3.6984302849104804e-14,same-geometry,clean,,
triads_defects/B-N-S/C8-C53-C1-were_replaced/config2,triads_defects/B-N-S/C8-C53-C1-were_replaced/config2/GGA-PBE,triads_defects/B-N-S/C8-C53-C1-were_replaced/config2/HSE06,BNS,64,100,0,12,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,-0.25,-0.25,3.743901771316713e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
triads_defects/B-N-S/C8-C53-C1-were_replaced/config3,triads_defects/B-N-S/C8-C53-C1-were_replaced/config3/GGA-PBE,triads_defects/B-N-S/C8-C53-C1-were_replaced/config3/HSE06,BNS,64,100,0,23,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,0.0,0.0,3.7381118289434525e-14,same-geometry,clean,,
triads_defects/B-N-S/C8-C55-C1-were_replaced/config1,triads_defects/B-N-S/C8-C55-C1-were_replaced/config1/GGA-PBE,triads_defects/B-N-S/C8-C55-C1-were_replaced/config1/HSE06,BNS,64,100,0,7,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,-0.0,-0.0,3.6984302849104804e-14,same-geometry,clean,,
triads_defects/B-N-S/C8-C55-C1-were_replaced/config2,triads_defects/B-N-S/C8-C55-C1-were_replaced/config2/GGA-PBE,triads_defects/B-N-S/C8-C55-C1-were_replaced/config2/HSE06,BNS,64,100,0,12,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,-0.25,-0.25,3.743901771316713e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
triads_defects/B-N-S/C8-C55-C1-were_replaced/config3,triads_defects/B-N-S/C8-C55-C1-were_replaced/config3/GGA-PBE,triads_defects/B-N-S/C8-C55-C1-were_replaced/config3/HSE06,BNS,64,100,0,23,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,0.0,0.0,3.7381118289434525e-14,same-geometry,clean,,
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config1,triads_defects/H-B-Si/C8-C53-C1-were_replaced/config1/GGA-PBE,triads_defects/H-B-Si/C8-C53-C1-were_replaced/config1/HSE06,BHSi,64,100,0,26,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,1.9924,2.0,3.900340444203809e-14,same-geometry,clean,,
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config2,triads_defects/H-B-Si/C8-C53-C1-were_replaced/config2/GGA-PBE,triads_defects/H-B-Si/C8-C53-C1-were_replaced/config2/HSE06,BHSi,64,100,0,48,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,-0.25,-0.25,3.7288098735419946e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
