# Diamond defect corpus — one row per VASP run. 199 rows.
# spin_sum_rule: ok | FAIL-fractional (non-integer magnetisation) | FAIL-parity (odd electron count, even magnetisation)
# Generated 2026-07-21 from the recovered archives; see 04-data-health-gaps-and-caveats.md
run_directory	archive	level	aexx	hfscreen	encut	sigma	nsw	ionic_steps	reached_accuracy	clean_exit	defect_order	n_substituted	species	nelect	magnetization	spin_sum_rule	gap_eV	frac_occ_states	E_final_eV	elapsed_s	cores
single_defect/VIA-element-single-impurity/O/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.1	40	13	yes	yes	single	1	O C	257.9999659		ok	1.1551	0	-572.29222803	145.667	112
single_defect/VIA-element-single-impurity/O/HSE06	single_defect	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	single	1	O C	257.9999664		ok	1.8016	0	-664.6394796	3385.148	112
single_defect/VIA-element-single-impurity/S/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	5	yes	yes	single	1	S C	257.9999693	0.25	FAIL-fractional	0.0065	0	-566.27734223	43.835	112
single_defect/VIA-element-single-impurity/S/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	S C	257.9999698	0.25	FAIL-fractional	0.0437	0	-657.94952074	3412.572	112
single_defect/VIA-element-single-impurity/Se/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	5	yes	yes	single	1	Se C	257.9999781	0.25	FAIL-fractional	0.0	2	-562.05014019	58.958	112
single_defect/VIA-element-single-impurity/Se/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	Se C	257.9999785	0.25	FAIL-fractional	0.0941	0	-653.67270052	3923.64	112
single_defect/VIA-element-single-impurity/Te/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.001	40	22	yes	yes	single	1	Te C	257.9999856	-0.5	FAIL-fractional	0.0341	0	-556.04820166	196.453	112
single_defect/VIA-element-single-impurity/Te/HSE06	single_defect	HSE06	0.2500	0.2	500	0.001	0	1	no	yes	single	1	Te C	257.9999858	-0.5	FAIL-fractional	0.2009	0	-647.65534653	3878.69	112
single_defect/VIIA-element-single-impurity/Br/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.01	40	40	no	yes	single	1	Br C	258.9999822	-0.9999999	ok	0.1512	0	-556.32860366	646.093	112
single_defect/VIIA-element-single-impurity/Br/HSE06	single_defect	HSE06	0.2500	0.2	500	0.01	0	1	no	yes	single	1	Br C	258.9999825	-0.9999999	ok	1.0308	0	-647.71010621	3814.928	112
single_defect/VIIA-element-single-impurity/Cl/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	100	7	yes	yes	single	1	Cl C	258.9999789	-0.25	FAIL-fractional	0.0042	0	-559.88891304	52.762	112
single_defect/VIIA-element-single-impurity/Cl/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	Cl C	258.9999793	-0.9988513	ok	0.764	0	-651.38812217	4154.675	112
single_defect/VIIA-element-single-impurity/F/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	40	no	yes	single	1	F C	258.9999767	1.0000003	ok	0.6028	0	-567.25759441	486.499	112
single_defect/VIIA-element-single-impurity/F/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	F C	258.9999771	1.0000004	ok	2.2289	0	-659.80377425	3572.991	112
single_defect/VIIA-element-single-impurity/I/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	single	1	I C	258.9999835	0.4999999	FAIL-fractional	0.0201	3	-550.70661735	26.382	112
single_defect/VIIA-element-single-impurity/I/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	I C	258.9999838	0.4999999	FAIL-fractional	0.0492	0	-641.47740824	3827.981	112
single_defects_new-only-GGA-PBE/IA-impurity/Cs/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Cs C	260.9999931		FAIL-parity	0.3966	0	-545.71810178	229.191	112
single_defects_new-only-GGA-PBE/IA-impurity/Fr/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	40	no	yes	single	1	Fr C	260.9999964		FAIL-parity	0.0619	0	-510.38074042	667.826	112
single_defects_new-only-GGA-PBE/IA-impurity/K/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	14	yes	yes	single	1	K C	258.9999837		FAIL-parity	0.2409	0	-553.11450563	193.312	112
single_defects_new-only-GGA-PBE/IA-impurity/Rb/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	14	yes	yes	single	1	Rb C	258.9999926		FAIL-parity	0.3511	0	-549.23520914	194.78	112
single_defects_new-only-GGA-PBE/IIA-impurity/Ba/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.0001	40	5	yes	yes	single	1	Ba C	261.9999907	2.0000002	ok	0.0035	0	-549.16011363	42.068	112
single_defects_new-only-GGA-PBE/IIA-impurity/Ca/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Ca C	259.9999839	-1.9999999	ok	0.0111	0	-558.92059346	303.116	112
single_defects_new-only-GGA-PBE/IIA-impurity/Ra/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	40	no	yes	single	1	Ra C	261.9999949	0.2500001	FAIL-fractional	0.0694	0	-516.23792819	638.94	112
single_defects_new-only-GGA-PBE/IIA-impurity/Sr/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	40	no	yes	single	1	Sr C	261.9999868	-1.9999999	ok	0.0387	0	-554.3387737	512.95	112
single_defects_new-only-GGA-PBE/III-A/Al/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	19	yes	yes	single	1	Al C	254.9999792	0.25	FAIL-fractional	0.0253	0	-568.9105413	269.921	112
single_defects_new-only-GGA-PBE/III-A/Ga/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	17	yes	yes	single	1	Ga C	264.9999818		FAIL-parity	0.0214	0	-567.21865214	246.916	112
single_defects_new-only-GGA-PBE/III-A/In/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	17	yes	yes	single	1	In C	264.9999879		FAIL-parity	0.0435	0	-560.33897304	237.436	112
single_defects_new-only-GGA-PBE/III-A/Tl/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	18	yes	yes	single	1	Tl C	264.9999881		FAIL-parity	0.0456	0	-557.03571243	300.637	112
single_defects_new-only-GGA-PBE/IV-A/Ge/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	17	yes	yes	single	1	Ge C	265.9999852		ok	3.8276	0	-570.42345073	262.552	112
single_defects_new-only-GGA-PBE/IV-A/Pb/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	18	yes	yes	single	1	Pb C	265.9999881		ok	3.2649	0	-558.91693168	270.717	112
single_defects_new-only-GGA-PBE/IV-A/Sn/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	17	yes	yes	single	1	Sn C	265.9999925		ok	3.4608	0	-562.96758449	254.554	112
single_defects_new-only-GGA-PBE/Transition-Metals/Ag/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	16	yes	yes	single	1	Ag C	268.9999837	-1.4999997	FAIL-fractional	0.1439	0	-560.91790494	194.503	112
single_defects_new-only-GGA-PBE/Transition-Metals/Cd/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	21	yes	yes	single	1	Cd C	263.999983	2.0000004	ok	0.045	0	-557.84456143	279.495	112
single_defects_new-only-GGA-PBE/Transition-Metals/Co/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	14	yes	yes	single	1	Co C	266.9999657	0.25	FAIL-fractional	0.0364	0	-572.9414414	181.513	112
single_defects_new-only-GGA-PBE/Transition-Metals/Cr/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Cr C	263.9999853	2.0000054	ok	1.774	0	-574.49853492	216.231	112
single_defects_new-only-GGA-PBE/Transition-Metals/Cu/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	13	yes	yes	single	1	Cu C	269.000021	1.5	FAIL-fractional	0.0455	0	-567.22098505	192.779	112
single_defects_new-only-GGA-PBE/Transition-Metals/Fe/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	14	yes	yes	single	1	Fe C	265.9999563		ok	2.1153	0	-574.87712563	181.6	112
single_defects_new-only-GGA-PBE/Transition-Metals/Mn/sigma-0.0001	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	single	1	Mn C	264.9999628	0.999996	ok	0.0026	0	-574.57876088	33.224	112
single_defects_new-only-GGA-PBE/Transition-Metals/Mo/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Mo C	263.9999785	1.9999991	ok	1.0844	0	-571.31962242	359.95	112
single_defects_new-only-GGA-PBE/Transition-Metals/Nb/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	single	1	Nb C	262.9999845	-0.9999998	ok	0.0025	0	-568.96319999	33.242	112
single_defects_new-only-GGA-PBE/Transition-Metals/Ni/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	19	yes	yes	single	1	Ni C	267.999943	0.5000001	FAIL-fractional	0.0383	0	-570.51630197	244.194	112
single_defects_new-only-GGA-PBE/Transition-Metals/Pd/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	23	yes	yes	single	1	Pd C	267.9999678	0.4999999	FAIL-fractional	0.0196	0	-566.08429516	249.898	112
single_defects_new-only-GGA-PBE/Transition-Metals/Rh/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Rh C	266.9999821	-0.4999999	FAIL-fractional	0.0281	0	-569.92958162	212.709	112
single_defects_new-only-GGA-PBE/Transition-Metals/Ru/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Ru C	265.9999876		ok	2.933	0	-572.70733018	286.543	112
single_defects_new-only-GGA-PBE/Transition-Metals/Sc/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Sc C	262.9999847	-1.0	ok	0.0288	0	-566.84466332	269.109	112
single_defects_new-only-GGA-PBE/Transition-Metals/Tc/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	single	1	Tc C	264.9999844	1.0000016	ok	0.0066	0	-572.10036279	26.455	112
single_defects_new-only-GGA-PBE/Transition-Metals/Ti/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	15	yes	yes	single	1	Ti C	261.9999762		ok	2.5724	0	-571.32501892	456.243	112
single_defects_new-only-GGA-PBE/Transition-Metals/V/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	single	1	V C	262.9999781	-1.0000011	ok	0.0012	0	-572.76590338	35.233	112
single_defects_new-only-GGA-PBE/Transition-Metals/Y/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	19	yes	yes	single	1	Y C	262.9999857	0.9999999	ok	0.0276	0	-562.72877623	268.407	112
single_defects_new-only-GGA-PBE/Transition-Metals/Zn/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.0001	40	4	yes	yes	single	1	Zn C	263.999967	1.2500001	FAIL-fractional	0.0012	0	-564.12339738	41.179	112
single_defects_new-only-GGA-PBE/Transition-Metals/Zr/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	17	yes	yes	single	1	Zr C	263.9999898		ok	2.6107	0	-567.66827904	463.221	112
single_defects_new-only-GGA-PBE/VA/Bi/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	19	yes	yes	single	1	Bi C	266.9999939		FAIL-parity	0.1078	0	-556.58086828	284.779	112
single_defects_new-only-GGA-PBE/VIA/Po/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	18	yes	yes	single	1	Po C	267.9999881		ok	0.1068	0	-553.19107686	303.314	112
single_defects_new-only-GGA-PBE/VIIA/At/GGA-PBE	single_defects_new-only-GGA-PBE	GGA-PBE	0.0000		500	0.001	40	40	no	yes	single	1	At C	258.9999844		FAIL-parity	0.0556	0	-548.58428117	407.839	112
single_defects_new-only-HSE06/IA-impurity/Cs/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	15	yes	yes	single	1	Cs C	260.9999917	-2e-07	FAIL-parity	0.1629	0	-636.39330483	45330.786	112
single_defects_new-only-HSE06/IA-impurity/Fr/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	40	no	yes	single	1	Fr C	260.9999917	-0.9999999	ok	0.0253	0	-611.01567882	196520.077	112
single_defects_new-only-HSE06/IA-impurity/K/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	13	yes	yes	single	1	K C	258.9999852		FAIL-parity	0.3502	0	-643.76206351	31375.257	112
single_defects_new-only-HSE06/IA-impurity/Rb/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	22	yes	yes	single	1	Rb C	258.999991	-1.0000005	ok	0.4517	0	-639.9465071	53912.223	112
single_defects_new-only-HSE06/IIA-impurity/Ba/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.0001	40	7	yes	yes	single	1	Ba C	261.9999912	2.0000003	ok	0.0663	0	-639.58679225	17217.881	112
single_defects_new-only-HSE06/IIA-impurity/Ca/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	40	no	yes	single	1	Ca C	259.9999845	-2.0	ok	0.4908	0	-649.4632528	160347.655	112
single_defects_new-only-HSE06/IIA-impurity/Ra/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	40	no	yes	single	1	Ra C	262.0000037	2e-07	ok	0.5996	0	-611.76295048	528909.516	112
single_defects_new-only-HSE06/IIA-impurity/Sr/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	40	no	yes	single	1	Sr C	261.9999864	-2.0000001	ok	0.4868	0	-644.93722629	114401.067	112
