config,dopants,group_key,quality,target_a,target_b,n_ingap,A_Z_mean,A_Z_prod,A_Z_range,A_Z_sum,A_chi_mean,A_chi_prod,A_chi_range,A_chi_sum,A_dnval_absum,A_dnval_sum,A_grp_mean,A_grp_prod,A_grp_range,A_grp_sum,A_nval_mean,A_nval_prod,A_nval_range,A_nval_sum,A_order,A_per_mean,A_per_prod,A_per_range,A_per_sum,A_rcov_mean,A_rcov_prod,A_rcov_range,A_rcov_sum,B_bandwidth,B_bond_mean,B_dopw_max,B_dopw_mean,B_host_gap,B_ingap_E_max,B_ingap_E_mean,B_ingap_E_mean_frac,B_ingap_E_min,B_ingap_from_cbm,B_ionic_steps,B_ipr_max,B_ipr_mean,B_magmom,B_max_disp,B_n_ingap_occ,B_n_ingap_unocc,B_nelect,B_pbe_energy
pair_defects/N-S/C8-C1-were_replaced,NS,NS,spin-suspect,0.9963712692260742,1.1487979888916016,36,11.5,112.0,9.0,23.0,2.81,7.8432,0.45999999999999996,5.62,3.0,3.0,15.5,240.0,1.0,31.0,5.5,30.0,1.0,11.0,2.0,2.5,6.0,1.0,5.0,0.88,0.7454999999999999,0.3400000000000001,1.76,25.73612117767334,1.5915388929679506,0.2846153676509857,0.20695967144436306,4.439162254333496,4.312826156616211,3.8701221677992077,0.8718136319575178,3.334095001220703,0.12633609771728516,9.0,0.11788459122180939,0.06263485131785274,0.25,0.17432907399483508,24.0,12.0,259.0,-561.31623
pair_defects/N-S/C8-C53-were_replaced,NS,NS,spin-suspect,-0.055896759033203125,1.1680793762207031,34,11.5,112.0,9.0,23.0,2.81,7.8432,0.45999999999999996,5.62,3.0,3.0,15.5,240.0,1.0,31.0,5.5,30.0,1.0,11.0,2.0,2.5,6.0,1.0,5.0,0.88,0.7454999999999999,0.3400000000000001,1.76,25.481616973876953,1.621713125373025,0.7664670944213867,0.41637252687531356,4.246468544006348,4.138498306274414,2.7331893584307503,0.643638197270646,1.097768783569336,0.1079702377319336,4.0,0.33244743943214417,0.16228338248808594,0.0001,0.5178747746286323,24.0,10.0,259.0,-564.35258
pair_defects/N-Si/C8-C1-were_replaced,NSi,NSi,spin-suspect,1.0337047576904297,1.2068367004394531,22,10.5,98.0,7.0,21.0,2.4699999999999998,5.776,1.1400000000000001,4.9399999999999995,1.0,1.0,14.5,210.0,1.0,29.0,4.5,20.0,1.0,9.0,2.0,2.5,6.0,1.0,5.0,0.91,0.7881,0.40000000000000013,1.82,25.315543174743652,1.5936707504355163,0.29094409942626953,0.14457235383716496,4.199565887451172,4.071146011352539,3.7843667810613457,0.9011328509857428,3.260936737060547,0.1284198760986328,14.0,0.13219061493873596,0.0480508760295131,-0.0,0.18196115664362245,8.0,14.0,257.0,-568.90953
pair_defects/N-Si/C8-C53-were_replaced,NSi,NSi,spin-suspect,1.0251588821411133,nan,8,10.5,98.0,7.0,21.0,2.4699999999999998,5.776,1.1400000000000001,4.9399999999999995,1.0,1.0,14.5,210.0,1.0,29.0,4.5,20.0,1.0,9.0,2.0,2.5,6.0,1.0,5.0,0.91,0.7881,0.40000000000000013,1.82,25.32782745361328,1.6040364753293646,0.23799125850200653,0.16442900151014328,3.9523086547851562,3.6101837158203125,3.5495963096618652,0.8981070608856124,3.3678340911865234,0.34212493896484375,18.0,0.0767529085278511,0.04510934092104435,0.0,0.17691468251936918,8.0,0.0,257.0,-570.06056
single_defect/IA-element-single-impurity/Li,Li,Li,clean,-0.2945280075073242,1.0601749420166016,59,3.0,3.0,0.0,3.0,0.98,0.98,0.0,0.98,3.0,-3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.28,1.28,0.0,1.28,22.08895206451416,1.7769630242458296,0.20534224808216095,0.1363682177359775,4.758993148803711,2.255596160888672,1.2367153814283467,0.2598691241527056,0.07283782958984375,2.503396987915039,7.0,0.15940089523792267,0.10559875846414243,3.0,0.2273546461088624,35.0,24.0,253.0,-566.47111
single_defect/IA-element-single-impurity/Na,Na,Na,clean,-0.24770736694335938,1.2049579620361328,62,11.0,11.0,0.0,11.0,0.93,0.93,0.0,0.93,3.0,-3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,1.66,1.66,0.0,1.66,22.63712215423584,1.9087950299292222,0.18196995556354523,0.07686341704139786,4.633078575134277,2.846742630004883,1.766526775975381,0.3812857363258043,0.26727867126464844,1.7863359451293945,17.0,0.19612407684326172,0.12363097912842227,2.9999,0.3591865296065736,38.0,24.0,253.0,-561.0955
single_defect/IIA-element-single-impurity/Be,Be,Be,clean,0.10323810577392578,0.2556333541870117,48,4.0,4.0,0.0,4.0,1.57,1.57,0.0,1.57,2.0,-2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.96,0.96,0.0,0.96,21.595471382141113,1.6750740475639576,0.23931622505187988,0.17878009953225651,4.916153907775879,1.3786048889160156,0.8014785250027975,0.1630295837026378,0.10811328887939453,3.5375490188598633,9.0,0.12892210483551025,0.08404811060366531,-0.0,0.12550564477969975,32.0,16.0,254.0,-571.64876
single_defect/IIA-element-single-impurity/Mg,Mg,Mg,clean,-0.17357730865478516,0.7549552917480469,54,12.0,12.0,0.0,12.0,1.31,1.31,0.0,1.31,2.0,-2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,0.0,3.0,1.41,1.41,0.0,1.41,22.670706748962402,1.85717531048073,0.1538461595773697,0.09569039264762844,4.694701194763184,2.07119083404541,1.3143709500630696,0.27996903222066954,0.05633258819580078,2.6235103607177734,19.0,0.14798109233379364,0.07998199622940134,2.0,0.3076839664611873,38.0,16.0,254.0,-563.33332
single_defect/IIIA-element-single-imputiry/B,B,B,spin-suspect,0.019242286682128906,0.13159847259521484,18,5.0,5.0,0.0,5.0,2.04,2.04,0.0,2.04,1.0,-1.0,13.0,13.0,0.0,13.0,3.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,0.84,0.84,0.0,0.84,20.951937675476074,1.590378219132806,0.08567604422569275,0.07127075187034076,4.896336555480957,0.9669837951660156,0.5569463835822211,0.11374756969244192,0.3392601013183594,3.9293527603149414,13.0,0.03640264272689819,0.02647714999814828,-0.0,0.043259886948618195,10.0,8.0,255.0,-578.46909
single_defect/VA-element-single-impurity/As,As,As,clean,1.0361518859863281,1.1582813262939453,12,33.0,33.0,0.0,33.0,2.18,2.18,0.0,2.18,1.0,1.0,15.0,15.0,0.0,15.0,5.0,5.0,0.0,5.0,1.0,4.0,4.0,0.0,4.0,1.19,1.19,0.0,1.19,25.336212158203125,1.779812612263228,0.1214953362941742,0.08238228348394235,4.206219673156738,3.9898738861083984,3.8834665616353354,0.9232676520484298,3.777059555053711,0.21634578704833984,1.0,0.027698930352926254,0.02217624957362811,0.0006,0.23020412399239285,6.0,6.0,257.0,-567.40877
single_defect/VA-element-single-impurity/N,N,N,spin-suspect,1.0268945693969727,1.193181037902832,22,7.0,7.0,0.0,7.0,3.04,3.04,0.0,3.04,1.0,1.0,15.0,15.0,0.0,15.0,5.0,5.0,0.0,5.0,1.0,2.0,2.0,0.0,2.0,0.71,0.71,0.0,0.71,25.32560920715332,1.5937897765408313,0.282196968793869,0.12980803169987418,4.510441780090332,4.269803047180176,3.984142476862127,0.8833153538193625,3.426032066345215,0.24063873291015625,3.0,0.12433997541666031,0.04498450085520744,0.0,0.044181346589689474,8.0,14.0,257.0,-576.81391
single_defect/VA-element-single-impurity/P,P,P,spin-suspect,1.0015430450439453,nan,8,15.0,15.0,0.0,15.0,2.19,2.19,0.0,2.19,1.0,1.0,15.0,15.0,0.0,15.0,5.0,5.0,0.0,5.0,1.0,3.0,3.0,0.0,3.0,1.07,1.07,0.0,1.07,25.420413970947266,1.7025308199317088,0.13432836532592773,0.09458245523273945,4.027457237243652,3.9658021926879883,3.7785176038742065,0.9381893788797079,3.6980714797973633,0.06165504455566406,12.0,0.039937131106853485,0.025996663374826312,0.25,0.15318398993792393,8.0,0.0,257.0,-571.91044
single_defect/VA-element-single-impurity/Sb,Sb,Sb,spin-suspect,0.004246711730957031,nan,24,51.0,51.0,0.0,51.0,2.05,2.05,0.0,2.05,1.0,1.0,15.0,15.0,0.0,15.0,5.0,5.0,0.0,5.0,1.0,5.0,5.0,0.0,5.0,1.39,1.39,0.0,1.39,25.60732936859131,1.8878774433283882,0.10304450243711472,0.07930919729794066,4.675347328186035,4.380539894104004,1.3812272151311238,0.29542772294246195,0.19379711151123047,0.29480743408203125,3.0,0.028125863522291183,0.025045635644346476,0.25,0.3382690545538767,24.0,0.0,257.0,-560.54165
single_defect/VIA-element-single-impurity/O,O,O,clean,0.5389890670776367,1.2551136016845703,64,8.0,8.0,0.0,8.0,3.44,3.44,0.0,3.44,2.0,2.0,16.0,16.0,0.0,16.0,6.0,6.0,0.0,6.0,1.0,2.0,2.0,0.0,2.0,0.66,0.66,0.0,0.66,24.19052219390869,1.7290616557972995,0.32970449328422546,0.25021523609757423,4.527395248413086,4.351570129394531,3.603375017642975,0.7959046692258661,1.6737394332885742,0.1758251190185547,13.0,0.214874267578125,0.16028184653259814,-0.0,0.17945319989479283,16.0,48.0,258.0,-572.29223
single_defect/VIA-element-single-impurity/S,S,S,spin-suspect,0.9524354934692383,1.090418815612793,32,16.0,16.0,0.0,16.0,2.58,2.58,0.0,2.58,2.0,2.0,16.0,16.0,0.0,16.0,6.0,6.0,0.0,6.0,1.0,3.0,3.0,0.0,3.0,1.05,1.05,0.0,1.05,25.58566951751709,1.7136176386070572,0.27166274189949036,0.19453831855207682,4.322259902954102,4.014894485473633,3.7204204499721527,0.8607581527962689,3.262385368347168,0.30736541748046875,5.0,0.109861820936203,0.07087874133139849,0.25,0.16401027754195135,16.0,16.0,258.0,-566.27734
single_defect/VIA-element-single-impurity/Se,Se,Se,spin-suspect,0.9473352432250977,1.1495647430419922,25,34.0,34.0,0.0,34.0,2.55,2.55,0.0,2.55,2.0,2.0,16.0,16.0,0.0,16.0,6.0,6.0,0.0,6.0,1.0,4.0,4.0,0.0,4.0,1.2,1.2,0.0,1.2,25.402140617370605,1.819445353316267,0.39319467544555664,0.25033253282308576,4.25039005279541,4.188052177429199,3.708393440246582,0.8724830884185873,3.4195594787597656,0.06233787536621094,5.0,0.17931248247623444,0.09798010811209679,0.25,0.2698368704031671,16.0,9.0,258.0,-562.05014
single_defect/VIA-element-single-impurity/Te,Te,Te,clean,1.009099006652832,1.2031774520874023,27,52.0,52.0,0.0,52.0,2.1,2.1,0.0,2.1,2.0,2.0,16.0,16.0,0.0,16.0,6.0,6.0,0.0,6.0,1.0,5.0,5.0,0.0,5.0,1.38,1.38,0.0,1.38,25.481648445129395,1.9140415254685295,0.311507910490036,0.17293453326931707,4.66593074798584,4.536822319030762,3.459872916892723,0.7415182744377977,0.6317176818847656,0.12910842895507812,22.0,0.13786497712135315,0.06355328264611738,-0.5,0.37164188973257967,22.0,5.0,258.0,-556.0482
single_defect/VIIA-element-single-impurity/Br,Br,Br,clean,0.41849803924560547,1.1068496704101562,54,35.0,35.0,0.0,35.0,2.96,2.96,0.0,2.96,3.0,3.0,17.0,17.0,0.0,17.0,7.0,7.0,0.0,7.0,1.0,4.0,4.0,0.0,4.0,1.2,1.2,0.0,1.2,24.577221870422363,1.942055378387215,0.367066890001297,0.2655139355747788,4.216758728027344,4.162947654724121,3.091081566280789,0.7330468176268738,0.05461597442626953,0.053811073303222656,40.0,0.2654131054878235,0.16527884363852166,-1.0,0.40426306111752797,25.0,29.0,259.0,-556.3286
single_defect/VIIA-element-single-impurity/Cl,Cl,Cl,spin-suspect,0.27979469299316406,1.2355480194091797,64,17.0,17.0,0.0,17.0,3.16,3.16,0.0,3.16,3.0,3.0,17.0,17.0,0.0,17.0,7.0,7.0,0.0,7.0,1.0,3.0,3.0,0.0,3.0,1.02,1.02,0.0,1.02,24.684067726135254,1.8761435700270566,0.26053640246391296,0.21004844014532864,4.352660179138184,4.103751182556152,3.1698887050151825,0.7282646874681619,1.9200267791748047,0.24890899658203125,7.0,0.2209731638431549,0.15791848150547594,-0.25,0.3277184251164828,24.0,40.0,259.0,-559.88891
single_defect/VIIA-element-single-impurity/F,F,F,clean,-0.2882957458496094,1.5315637588500977,48,9.0,9.0,0.0,9.0,3.98,3.98,0.0,3.98,3.0,3.0,17.0,17.0,0.0,17.0,7.0,7.0,0.0,7.0,1.0,2.0,2.0,0.0,2.0,0.57,0.57,0.0,0.57,28.871549606323242,1.834912913556923,0.1306532621383667,0.09079374885186553,4.518808364868164,3.596074104309082,2.2279472748438516,0.4930386719129772,0.630859375,0.922734260559082,40.0,0.28977659344673157,0.19025712724154195,1.0,0.4001271137935453,24.0,24.0,259.0,-567.25759
single_defect/VIIA-element-single-impurity/I,I,I,clean,0.7550783157348633,0.9533357620239258,64,53.0,53.0,0.0,53.0,2.66,2.66,0.0,2.66,3.0,3.0,17.0,17.0,0.0,17.0,7.0,7.0,0.0,7.0,1.0,5.0,5.0,0.0,5.0,1.39,1.39,0.0,1.39,24.905312538146973,2.0000284948155027,0.38793104887008667,0.2682993978378363,4.568934440612793,4.506589889526367,3.595793679356575,0.7870092526156496,0.5666513442993164,0.06234455108642578,3.0,0.20006538927555084,0.1342527892848011,0.5,0.4504220758236341,31.0,33.0,259.0,-550.70662
single_defects_new-only/IA-impurity/K,K,K,spin-suspect,-0.5493707656860352,1.217270851135254,70,19.0,19.0,0.0,19.0,0.82,0.82,0.0,0.82,3.0,-3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0,2.03,2.03,0.0,2.03,23.308890342712402,2.0447127821547935,0.379146933555603,0.2888056672045163,4.670431137084961,2.7543907165527344,2.161541393824986,0.4628141022488359,0.1441946029663086,1.9160404205322266,14.0,0.21467916667461395,0.15996231756040027,0.0,0.49510460647369414,46.0,24.0,259.0,-553.11451
single_defects_new-only/IIA-impurity/Ba,Ba,Ba,clean,-0.037079811096191406,0.8192405700683594,68,56.0,56.0,0.0,56.0,0.89,0.89,0.0,0.89,2.0,-2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,6.0,6.0,0.0,6.0,2.15,2.15,0.0,2.15,28.484745979309082,2.120086620742024,0.32676053047180176,0.22658598297001684,4.469194412231445,4.228414535522461,2.232055944554946,0.49943138263266834,0.9785528182983398,0.24077987670898438,5.0,0.15842092037200928,0.11905094909974757,2.0,0.5704785536077757,48.0,20.0,262.0,-549.16011
single_defects_new-only/III-A/Al,Al,Al,spin-suspect,0.01442718505859375,0.1589975357055664,45,13.0,13.0,0.0,13.0,1.61,1.61,0.0,1.61,1.0,-1.0,13.0,13.0,0.0,13.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,0.0,3.0,1.21,1.21,0.0,1.21,21.703837394714355,1.7856655869471156,0.13333332538604736,0.0921045141087638,4.734793663024902,1.2670097351074219,0.7677518420749241,0.16215106649112834,0.05842018127441406,3.4677839279174805,19.0,0.11140592396259308,0.06758304999934303,0.25,0.2362610669190614,37.0,8.0,255.0,-568.91054
single_defects_new-only/III-A/Ga,Ga,Ga,spin-suspect,0.058803558349609375,0.22349166870117188,50,31.0,31.0,0.0,31.0,1.81,1.81,0.0,1.81,1.0,-1.0,13.0,13.0,0.0,13.0,3.0,3.0,0.0,3.0,1.0,4.0,4.0,0.0,4.0,1.22,1.22,0.0,1.22,21.727301597595215,1.7931988790361257,0.30250993371009827,0.19977054327726365,4.825340270996094,4.77510929107666,1.2802306365966798,0.2653140638167683,0.05013847351074219,0.050230979919433594,17.0,0.13514791429042816,0.08304782465100288,0.0,0.24360314839452532,36.0,14.0,265.0,-567.21865
single_defects_new-only/III-A/In,In,In,spin-suspect,0.12106132507324219,0.2033529281616211,48,49.0,49.0,0.0,49.0,1.78,1.78,0.0,1.78,1.0,-1.0,13.0,13.0,0.0,13.0,3.0,3.0,0.0,3.0,1.0,5.0,5.0,0.0,5.0,1.42,1.42,0.0,1.42,22.359743118286133,1.9041764170813753,0.30053192377090454,0.2467178258424004,4.7105913162231445,1.7480220794677734,1.2847235202789307,0.2727308386644324,0.6928129196166992,2.962569236755371,17.0,0.14861492812633514,0.11141278439511855,-0.0,0.35457856506634416,40.0,8.0,265.0,-560.33897
single_defects_new-only/III-A/Tl,Tl,Tl,spin-suspect,0.15979385375976562,0.23543834686279297,48,81.0,81.0,0.0,81.0,1.62,1.62,0.0,1.62,1.0,-1.0,13.0,13.0,0.0,13.0,3.0,3.0,0.0,3.0,1.0,6.0,6.0,0.0,6.0,1.45,1.45,0.0,1.45,22.64201545715332,1.9338070661817401,0.3086419701576233,0.2560502840206027,4.64955997467041,1.9416179656982422,1.4910468061765034,0.32068557332292463,0.9407167434692383,2.707942008972168,18.0,0.14821676909923553,0.11698699075107773,-0.0,0.38421316504483144,40.0,8.0,265.0,-557.03571
single_defects_new-only/IV-A/Ge,Ge,Ge,clean,-0.0023097991943359375,1.226593017578125,24,32.0,32.0,0.0,32.0,2.01,2.01,0.0,2.01,0.0,0.0,14.0,14.0,0.0,14.0,4.0,4.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0,1.2,1.2,0.0,1.2,23.830452919006348,1.774250174408891,0.1149870827794075,0.08823305896172921,4.768285751342773,4.678475379943848,1.5424566268920898,0.32348242268360833,0.32024478912353516,0.08981037139892578,17.0,0.04296025261282921,0.030370619846507907,0.0,0.22464170444924814,18.0,6.0,266.0,-570.42345
single_defects_new-only/IV-A/Pb,Pb,Pb,clean,-0.0033597946166992188,nan,48,82.0,82.0,0.0,82.0,2.33,2.33,0.0,2.33,0.0,0.0,14.0,14.0,0.0,14.0,4.0,4.0,0.0,4.0,1.0,6.0,6.0,0.0,6.0,1.46,1.46,0.0,1.46,22.28567409515381,1.9243462273522067,0.3009320795536041,0.23306912649422884,4.604926109313965,1.3188791275024414,0.7868488430976868,0.17087111159204038,0.11365127563476562,3.2860469818115234,18.0,0.1292317807674408,0.10218531902258594,-0.0,0.3747377184116419,48.0,0.0,266.0,-558.91693
single_defects_new-only/IV-A/Sn,Sn,Sn,clean,-0.019565582275390625,1.2302484512329102,48,50.0,50.0,0.0,50.0,1.96,1.96,0.0,1.96,0.0,0.0,14.0,14.0,0.0,14.0,4.0,4.0,0.0,4.0,1.0,5.0,5.0,0.0,5.0,1.39,1.39,0.0,1.39,22.027033805847168,1.8832873926016918,0.26700252294540405,0.20135539351031184,4.678155899047852,4.587939262390137,1.1201117833455403,0.23943447108582197,0.14084243774414062,0.09021663665771484,17.0,0.1236598789691925,0.08159801775279145,-0.0,0.3336789004406257,42.0,6.0,266.0,-562.96758
single_defects_new-only/Transition-Metals/Ag,Ag,Ag,clean,-0.37078189849853516,1.2869186401367188,48,47.0,47.0,0.0,47.0,1.93,1.93,0.0,1.93,7.0,7.0,11.0,11.0,0.0,11.0,11.0,11.0,0.0,11.0,1.0,5.0,5.0,0.0,5.0,1.45,1.45,0.0,1.45,58.096861839294434,1.898338796958163,0.27591705322265625,0.22889341786503792,4.614144325256348,2.8988609313964844,2.382329603036245,0.5163101617771546,1.7857789993286133,1.7152833938598633,16.0,0.1287592649459839,0.11018721510966618,-1.5,0.34873032153296557,24.0,24.0,269.0,-560.9179
single_defects_new-only/Transition-Metals/Cd,Cd,Cd,clean,-0.09262466430664062,0.7859897613525391,48,48.0,48.0,0.0,48.0,1.69,1.69,0.0,1.69,8.0,8.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,12.0,1.0,5.0,5.0,0.0,5.0,1.44,1.44,0.0,1.44,23.070507049560547,1.9213265875267087,0.2720588147640228,0.22634700623651346,4.621406555175781,2.453125,1.8183017373085022,0.3934520184708875,1.0297698974609375,2.1682815551757812,21.0,0.12665654718875885,0.10041079623624682,2.0,0.3717841412437566,32.0,16.0,264.0,-557.84456
single_defects_new-only/Transition-Metals/Cr,Cr,Cr,clean,-0.06673431396484375,1.2509326934814453,92,24.0,24.0,0.0,24.0,1.66,1.66,0.0,1.66,2.0,2.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,1.0,4.0,4.0,0.0,4.0,1.39,1.39,0.0,1.39,42.85534381866455,1.7862976347628723,0.8959999680519104,0.5713634030164584,4.9315290451049805,4.744985580444336,2.4786471491274624,0.5026122986313463,0.051894187927246094,0.18654346466064453,15.0,0.8036374449729919,0.4019705534345754,2.0,0.23668914020772908,43.0,49.0,264.0,-574.49853
