family,point,is_copy
1-scale-all-axes-uniformly,cell-volume-11.65-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.70-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.75-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.80-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.85-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.90-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.95-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.00-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.05-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.10-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.15-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.20-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.25-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.30-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-12.35-cubic-angstroms,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.005,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.010,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.015,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.020,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.025,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.030,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.035,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.040,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.045,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.050,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.055,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.060,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.065,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.070,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.075,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.080,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.085,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.090,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.095,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-minus-0.100,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.005,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.010,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.015,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.020,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.025,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.030,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.035,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.040,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.045,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.050,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.055,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.060,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.065,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.070,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.075,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.080,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.085,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.090,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.095,False
2-stretch-one-axis-or-two-axes,stretch-x-and-y-axes-by-plus-0.100,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.005,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.010,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.015,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.020,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.025,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.030,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.035,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.040,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.045,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.050,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.055,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.060,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.065,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.070,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.075,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.080,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.085,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.090,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.095,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-minus-0.100,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.005,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.010,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.015,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.020,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.025,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.030,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.035,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.040,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.045,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.050,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.055,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.060,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.065,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.070,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.075,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.080,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.085,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.090,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.095,False
2-stretch-one-axis-or-two-axes,stretch-x-axis-by-plus-0.100,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.005,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.010,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.015,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.020,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.025,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.030,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.035,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.040,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.045,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.050,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.055,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.060,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.065,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.070,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.075,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.080,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.085,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.090,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.095,False
3-skew-one-plane,skew-x-toward-y-by-minus-0.100,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.005,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.010,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.015,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.020,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.025,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.030,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.035,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.040,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.045,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.050,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.055,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.060,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.065,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.070,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.075,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.080,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.085,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.090,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.095,False
3-skew-one-plane,skew-x-toward-y-by-plus-0.100,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.005,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.010,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.015,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.020,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.025,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.030,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.035,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.040,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.045,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.050,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.055,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.060,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.065,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.070,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.075,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.080,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.085,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.090,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.095,False
3-skew-one-plane,skew-x-toward-z-by-minus-0.100,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.005,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.010,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.015,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.020,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.025,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.030,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.035,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.040,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.045,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.050,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.055,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.060,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.065,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.070,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.075,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.080,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.085,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.090,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.095,False
3-skew-one-plane,skew-x-toward-z-by-plus-0.100,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.005,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.010,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.015,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.020,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.025,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.030,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.035,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.040,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.045,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.050,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.055,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.060,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.065,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.070,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.075,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.080,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.085,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.090,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.095,False
3-skew-one-plane,skew-y-toward-z-by-minus-0.100,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.005,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.010,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.015,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.020,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.025,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.030,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.035,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.040,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.045,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.050,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.055,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.060,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.065,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.070,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.075,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.080,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.085,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.090,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.095,False
3-skew-one-plane,skew-y-toward-z-by-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.025-xz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.025-xz-minus-0.050,False
4-skew-two-planes,skew-xy-minus-0.025-xz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.025-xz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.025-xz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.025-xz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.025-xz-plus-0.050,False
4-skew-two-planes,skew-xy-minus-0.025-xz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.025-xz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.025-yz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.025-yz-minus-0.050,False
4-skew-two-planes,skew-xy-minus-0.025-yz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.025-yz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.025-yz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.025-yz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.025-yz-plus-0.050,False
4-skew-two-planes,skew-xy-minus-0.025-yz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.025-yz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.050-xz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.050-xz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.050-xz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.050-xz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.050-xz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.050-xz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.050-xz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.050-yz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.050-yz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.050-yz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.050-yz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.050-yz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.050-yz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.050-yz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.075-xz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.075-xz-minus-0.050,False
4-skew-two-planes,skew-xy-minus-0.075-xz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.075-xz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.075-xz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.075-xz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.075-xz-plus-0.050,False
4-skew-two-planes,skew-xy-minus-0.075-xz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.075-xz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.075-yz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.075-yz-minus-0.050,False
4-skew-two-planes,skew-xy-minus-0.075-yz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.075-yz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.075-yz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.075-yz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.075-yz-plus-0.050,False
4-skew-two-planes,skew-xy-minus-0.075-yz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.075-yz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.100-xz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.100-xz-minus-0.050,False
4-skew-two-planes,skew-xy-minus-0.100-xz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.100-xz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.100-xz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.100-xz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.100-xz-plus-0.050,False
4-skew-two-planes,skew-xy-minus-0.100-xz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.100-xz-plus-0.100,False
4-skew-two-planes,skew-xy-minus-0.100-yz-minus-0.025,False
4-skew-two-planes,skew-xy-minus-0.100-yz-minus-0.050,False
4-skew-two-planes,skew-xy-minus-0.100-yz-minus-0.075,False
4-skew-two-planes,skew-xy-minus-0.100-yz-minus-0.100,False
4-skew-two-planes,skew-xy-minus-0.100-yz-plus-0.000,True
4-skew-two-planes,skew-xy-minus-0.100-yz-plus-0.025,False
4-skew-two-planes,skew-xy-minus-0.100-yz-plus-0.050,False
4-skew-two-planes,skew-xy-minus-0.100-yz-plus-0.075,False
4-skew-two-planes,skew-xy-minus-0.100-yz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.000-xz-minus-0.025,True
4-skew-two-planes,skew-xy-plus-0.000-xz-minus-0.050,True
4-skew-two-planes,skew-xy-plus-0.000-xz-minus-0.075,True
4-skew-two-planes,skew-xy-plus-0.000-xz-minus-0.100,True
4-skew-two-planes,skew-xy-plus-0.000-xz-plus-0.025,True
4-skew-two-planes,skew-xy-plus-0.000-xz-plus-0.050,True
4-skew-two-planes,skew-xy-plus-0.000-xz-plus-0.075,True
4-skew-two-planes,skew-xy-plus-0.000-xz-plus-0.100,True
4-skew-two-planes,skew-xy-plus-0.000-yz-minus-0.025,True
4-skew-two-planes,skew-xy-plus-0.000-yz-minus-0.050,True
4-skew-two-planes,skew-xy-plus-0.000-yz-minus-0.075,True
4-skew-two-planes,skew-xy-plus-0.000-yz-minus-0.100,True
4-skew-two-planes,skew-xy-plus-0.000-yz-plus-0.025,True
4-skew-two-planes,skew-xy-plus-0.000-yz-plus-0.050,True
4-skew-two-planes,skew-xy-plus-0.000-yz-plus-0.075,True
4-skew-two-planes,skew-xy-plus-0.000-yz-plus-0.100,True
4-skew-two-planes,skew-xy-plus-0.025-xz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.025-xz-minus-0.050,False
4-skew-two-planes,skew-xy-plus-0.025-xz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.025-xz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.025-xz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.025-xz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.025-xz-plus-0.050,False
4-skew-two-planes,skew-xy-plus-0.025-xz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.025-xz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.025-yz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.025-yz-minus-0.050,False
4-skew-two-planes,skew-xy-plus-0.025-yz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.025-yz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.025-yz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.025-yz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.025-yz-plus-0.050,False
4-skew-two-planes,skew-xy-plus-0.025-yz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.025-yz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.050-xz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.050-xz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.050-xz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.050-xz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.050-xz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.050-xz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.050-xz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.050-yz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.050-yz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.050-yz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.050-yz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.050-yz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.050-yz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.050-yz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.075-xz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.075-xz-minus-0.050,False
4-skew-two-planes,skew-xy-plus-0.075-xz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.075-xz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.075-xz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.075-xz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.075-xz-plus-0.050,False
4-skew-two-planes,skew-xy-plus-0.075-xz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.075-xz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.075-yz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.075-yz-minus-0.050,False
4-skew-two-planes,skew-xy-plus-0.075-yz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.075-yz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.075-yz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.075-yz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.075-yz-plus-0.050,False
4-skew-two-planes,skew-xy-plus-0.075-yz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.075-yz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.100-xz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.100-xz-minus-0.050,False
4-skew-two-planes,skew-xy-plus-0.100-xz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.100-xz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.100-xz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.100-xz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.100-xz-plus-0.050,False
4-skew-two-planes,skew-xy-plus-0.100-xz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.100-xz-plus-0.100,False
4-skew-two-planes,skew-xy-plus-0.100-yz-minus-0.025,False
4-skew-two-planes,skew-xy-plus-0.100-yz-minus-0.050,False
4-skew-two-planes,skew-xy-plus-0.100-yz-minus-0.075,False
4-skew-two-planes,skew-xy-plus-0.100-yz-minus-0.100,False
4-skew-two-planes,skew-xy-plus-0.100-yz-plus-0.000,True
4-skew-two-planes,skew-xy-plus-0.100-yz-plus-0.025,False
4-skew-two-planes,skew-xy-plus-0.100-yz-plus-0.050,False
4-skew-two-planes,skew-xy-plus-0.100-yz-plus-0.075,False
4-skew-two-planes,skew-xy-plus-0.100-yz-plus-0.100,False
4-skew-two-planes,skew-xz-minus-0.025-yz-minus-0.025,False
